NME_CONVOCATORIA	ANO_CONVO	COD_GRUPO_GR	NME_GRUPO_GR	FCREACION_GR	NME_MUNICIPIO_GR	NME_DEPARTAMENTO_GR	NME_PAIS_GR	NME_REGION_GR	COD_DANE_GR	ID_AREA_CON_GR	NME_AREA_GR	NME_GRAN_AREA_GR	NME_CLASIFICACION_GR	ORDEN_CLAS_GR	EDAD_ANOS_GR
Convocatoria 781 de 2017	1/01/2017	COL0024964	Solidos  Porosos y Calorimetría Aplicada	1/04/2000	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1D	Ciencias químicas	Ciencias naturales	C	2	17
Convocatoria 781 de 2017	1/01/2017	COL0033103	Evolucion, sistematica y ecologia molecular	1/02/2001	Santa Marta	Magdalena	Colombia	Caribe	47001	1F	Ciencias biológicas	Ciencias naturales	A1	5	16
Convocatoria 781 de 2017	1/01/2017	COL0025881	Grupo de Investigaciones Andrés Bello del Semillero Rafael Wenceslao Núñez Moledo.	1/11/2004	Barranquilla	Atlántico	Colombia	Caribe	8001	5E	Derecho	Ciencias sociales	C	2	13
Convocatoria 781 de 2017	1/01/2017	COL0023976	GRUPO DE INVESTIGACIÓN EN DEMOGRAFIA, SALUD PUBLICA Y SISTEMAS DE SALUD - GUINDESS	1/05/2002	Bucaramanga	Santander	Colombia	Centro Oriente	68001	3C	Ciencias de la salud	Ciencias médicas y de la salud	A1	5	15
Convocatoria 781 de 2017	1/01/2017	COL0010655	Grupo de Limnología y Ecología Acuática	1/01/1990	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1F	Ciencias biológicas	Ciencias naturales	A	4	27
Convocatoria 781 de 2017	1/01/2017	COL0093872	NATURA	1/12/2008	Cali	Valle del Cauca	Colombia	Pacífico	76001	1F	Ciencias biológicas	Ciencias naturales	A1	5	9
Convocatoria 781 de 2017	1/01/2017	COL0134198	EcoFiv: Grupo de Ecologia y Fisiologia Vegetal Uniandino	1/08/2012	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1F	Ciencias biológicas	Ciencias naturales	B	3	5
Convocatoria 781 de 2017	1/01/2017	COL0143679	TAMASKAL	1/01/2013	Riohacha	La Guajira	Colombia	Caribe	44001	6E	Otras humanidades	Humanidades	B	3	4
Convocatoria 781 de 2017	1/01/2017	COL0015713	Estado, conflictos y paz	1/02/2000	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	5F	Ciencias políticas	Ciencias sociales	A1	5	17
Convocatoria 781 de 2017	1/01/2017	COL0019786	Física Aplicada y Desarrollo Tecnológico	1/06/1994	Bogotá, D.C.	Bogotá, D. C.	Colombia	Distrito Capital	11001	1C	Ciencias físicas	Ciencias naturales	Reconocido	0	23
